gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-57.1387,26.5996,-14.8073,0.4364,64.7428,143.6531,0.0168,331.7981,29654.4961,0.4617,0.000247,0.0335,0.201,0.414,ROTATE
56.6859,-1.5922,-13.1615,0.4213,58.2156,6.5272,0.0151,238.3703,28402.4121,0.4498,0.000356,0.0331,0.1884,0.407,ROTATE
147.7456,-21.955,-9.4135,0.4061,149.6643,91.4487,0.0153,172.3775,13979.9971,0.4363,0.000444,0.032,0.1789,0.3966,ROTATE
220.5934,-34.5171,-2.1183,0.3803,223.2876,73.6233,0.0257,140.8612,4811.3716,0.4195,0.000628,0.0285,0.1723,0.3813,ROTATE
212.4872,-30.0606,8.7241,0.3619,214.7802,8.5074,0.0184,142.1381,4990.3584,0.4012,0.000729,0.023,0.1678,0.3635,ROTATE
181.4648,-18.1922,17.5136,0.3407,183.2134,31.5669,0.0213,165.8322,3568.3762,0.3821,0.000847,0.0179,0.1645,0.3441,ROTATE
175.0031,-3.7663,23.7953,0.319,176.6535,6.5598,0.0216,189.5198,714.4255,0.3616,0.000915,0.0143,0.1621,0.3227,ROTATE
204.2056,8.712,33.3862,0.3045,207.1001,30.4466,0.0145,201.007,326.5915,0.3413,0.000759,0.0129,0.16,0.3009,ROTATE
261.6238,19.4977,43.5777,0.289,265.944,58.8439,0.0156,209.5383,997.887,0.323,0.000668,0.0153,0.1591,0.2803,ROTATE
311.696,18.0263,50.3216,0.2647,316.2461,50.3021,0.0243,229.8314,2857.8901,0.3036,0.000668,0.0197,0.1577,0.2581,ROTATE
351.7536,2.8492,54.8916,0.2409,356.0222,39.7762,0.0239,264.3932,4413.5493,0.2836,0.000781,0.0245,0.1562,0.2347,ROTATE
383.7998,-7.63,56.3383,0.2232,387.9878,31.9655,0.0177,306.66,4142.5376,0.2645,0.000894,0.0283,0.1554,0.2109,ROTATE
409.4367,-11.4634,48.2863,0.2044,412.4335,24.4457,0.0187,347.7267,2711.2358,0.2444,0.000893,0.031,0.1551,0.1845,ROTATE
429.9463,-15.0207,22.1728,0.1866,430.7796,18.3461,0.0179,380.6938,1666.2791,0.2239,0.000745,0.0327,0.1552,0.1548,ROTATE
446.3539,-57.0416,-23.4305,0.1644,450.5935,19.8139,0.0222,407.5633,1090.8004,0.2039,0.00072,0.0336,0.1552,0.121,ROTATE
459.48,-119.8926,-46.6132,0.1335,477.1466,26.5531,0.0308,431.7882,941.0257,0.1824,0.000975,0.0329,0.1506,0.0863,ROTATE
469.9809,-154.8891,-43.8405,0.1177,496.7843,19.6377,0.0158,453.5475,928.7614,0.1613,0.001035,0.0297,0.1432,0.0533,ROTATE
478.3816,-110.4769,-16.8693,0.1011,491.2623,5.522,0.0166,469.3133,626.6108,0.1407,0.000962,0.025,0.132,0.0258,ROTATE
485.1022,-82.5409,9.7233,0.1003,492.1704,0.9081,0.0008,481.5915,283.3781,0.1234,0.000569,0.0187,0.1187,-0.0001,ROTATE
490.4786,-53.1765,24.8786,0.1146,493.9797,1.8094,0.0143,490.2687,46.6035,0.1135,0.00015,0.0125,0.1053,-0.0237,ROTATE
494.7798,-43.5974,25.4685,0.1612,497.3494,3.3696,0.0466,494.3092,5.8671,0.119,0.000494,0.0082,0.0964,-0.053,ROTATE
