gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
134.5279,-90.4025,347.0599,0.2266,383.0417,15.3901,0.0071,397.3908,56.4185,0.2087,0.000188,-0.1682,-0.0,0.1227,ROTATE1
109.5879,-96.2407,345.4355,0.2296,374.9633,8.0785,0.003,392.4387,131.4053,0.217,0.000119,-0.1743,0.0088,0.1284,ROTATE1
90.3735,-121.7707,350.264,0.2286,381.6809,6.7177,0.001,388.6339,126.4073,0.2227,5.8e-05,-0.18,0.0172,0.1291,ROTATE1
81.78,-58.8728,340.0737,0.2077,354.6887,26.9922,0.0208,378.5613,201.498,0.2224,6.6e-05,-0.1842,0.027,0.1193,ROTATE1
72.6115,-59.242,347.5464,0.2242,359.9591,5.2704,0.0165,370.8668,132.5325,0.2233,6.4e-05,-0.19,0.0354,0.109,ROTATE1
69.9548,-90.1842,353.1371,0.2272,371.1236,11.1645,0.003,368.4831,97.218,0.2235,6.5e-05,-0.1938,0.0433,0.0999,ROTATE1
68.1857,-114.6224,363.1816,0.2053,386.8959,15.7723,0.0219,370.8697,150.9304,0.2186,0.0001,-0.1908,0.0502,0.0925,ROTATE1
65.5642,-123.9198,373.0797,0.1896,398.5514,11.6555,0.0157,374.2437,269.425,0.2108,0.000188,-0.1848,0.0548,0.0848,ROTATE1
74.1701,-144.3077,371.8731,0.1872,405.7284,7.177,0.0024,384.4517,286.9995,0.2067,0.00028,-0.1804,0.0554,0.0837,ROTATE1
86.083,-153.5212,365.236,0.1893,405.4335,0.2948,0.0021,393.5466,172.353,0.1997,0.000231,-0.1714,0.0575,0.0846,ROTATE1
106.8101,-116.7919,367.2825,0.1729,399.9315,5.502,0.0164,399.3082,46.7528,0.1889,0.000106,-0.1557,0.0613,0.0862,ROTATE1
111.545,-85.5835,362.6791,0.1901,388.9768,10.9547,0.0172,399.7243,37.1141,0.1858,4.3e-05,-0.1455,0.0663,0.0915,ROTATE1
102.1704,-33.045,324.1121,0.1817,341.4372,47.5396,0.0084,388.3015,585.8351,0.1843,4.1e-05,-0.1364,0.0731,0.096,ROTATE1
96.0613,10.4359,288.4584,0.1706,304.212,37.2253,0.011,367.9982,1527.0824,0.1809,6.5e-05,-0.1267,0.0809,0.0982,ROTATE1
84.8615,16.6862,270.4011,0.1851,283.8955,20.3165,0.0145,343.6906,2070.5952,0.1801,5.4e-05,-0.1227,0.0875,0.0973,ROTATE1
93.2611,5.7021,261.799,0.2179,277.9728,5.9227,0.0328,319.2989,1706.7966,0.1891,0.000248,-0.1323,0.0921,0.0968,ROTATE1
84.512,1.9836,248.608,0.2143,262.5874,15.3854,0.0035,294.021,740.0597,0.1939,0.000352,-0.1397,0.0952,0.0935,ROTATE1
68.469,-6.935,249.3145,0.21,258.6384,3.949,0.0043,277.4612,266.5591,0.1996,0.000342,-0.1469,0.0957,0.0945,ROTATE1
51.6002,-25.4699,243.2797,0.205,249.9926,8.6457,0.005,266.6173,156.7533,0.2065,0.000133,-0.1543,0.0928,0.0999,ROTATE1
58.1864,-57.979,245.9456,0.2014,259.3,9.3074,0.0035,261.6982,83.5573,0.2097,3.6e-05,-0.1595,0.0849,0.1045,ROTATE1
79.5554,-109.8707,241.644,0.2061,277.1145,17.8145,0.0047,261.5266,78.0881,0.2074,2e-05,-0.1609,0.073,0.105,ROTATE1
122.1818,-153.5185,245.5652,0.2108,314.3224,37.2079,0.0047,271.8736,528.2824,0.2067,1.2e-05,-0.1662,0.0576,0.1041,ROTATE1
190.5392,-170.6116,257.4834,0.2274,362.9204,48.598,0.0166,292.73,1716.1627,0.2101,8.4e-05,-0.1752,0.0423,0.1048,ROTATE1
254.8282,-166.3893,268.3149,0.2381,405.7286,42.8082,0.0107,323.8772,2934.4556,0.2168,0.000191,-0.1851,0.0316,0.1071,ROTATE1
306.2595,-159.8208,276.5769,0.2417,442.5295,36.8009,0.0035,360.5231,3573.1648,0.2248,0.000203,-0.1931,0.027,0.1114,ROTATE1
347.4044,-144.6129,285.3959,0.2458,472.2855,29.756,0.0042,399.5573,3156.2659,0.2328,0.000158,-0.1982,0.0267,0.1188,ROTATE1
380.3204,-121.3903,293.1761,0.2494,495.3095,23.024,0.0035,435.7547,2226.7136,0.2405,5.7e-05,-0.201,0.0299,0.1282,ROTATE1
