gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
367.5989,-169.1422,-331.1617,0.3169,522.8825,53.9498,0.0136,591.9843,1600.1106,0.2963,0.000266,-0.0969,-0.2381,0.1428,SHAKE
325.9635,-237.7138,-256.7263,0.2736,478.1929,44.6896,0.0433,560.4186,2805.5642,0.2974,0.000207,-0.0712,-0.239,0.1532,SHAKE
287.1677,-292.571,-224.9529,0.2751,467.6183,10.5746,0.0015,529.2967,2770.376,0.2942,0.000289,-0.0479,-0.2314,0.1669,SHAKE
269.5497,-328.1256,-221.1217,0.2949,478.7675,11.1492,0.0198,504.8587,1656.7458,0.2927,0.000275,-0.0274,-0.2239,0.1815,SHAKE
254.4304,-264.0286,-225.3036,0.2925,430.3576,48.4099,0.0023,475.5638,872.5934,0.2906,0.000248,-0.0179,-0.2173,0.1901,SHAKE
236.4256,-178.1385,-193.2054,0.2852,353.495,76.8626,0.0073,441.6862,2257.251,0.2843,7.6e-05,-0.0194,-0.21,0.1888,SHAKE
218.2874,-98.3046,-123.3518,0.2962,269.3118,84.1832,0.011,399.91,6188.0439,0.2888,6.1e-05,-0.0313,-0.2155,0.1876,SHAKE
224.833,-24.2718,-63.9939,0.2984,235.0197,34.2921,0.0022,353.3903,8544.8438,0.2934,2e-05,-0.0393,-0.2253,0.1819,SHAKE
251.5633,14.6326,-33.3795,0.2796,254.1897,19.17,0.0188,308.4747,5351.7021,0.2904,4.9e-05,-0.0443,-0.2271,0.1748,SHAKE
242.485,17.2498,-18.1849,0.2702,243.777,10.4127,0.0094,271.1586,1825.2822,0.2859,0.00011,-0.044,-0.2239,0.1717,SHAKE
222.4974,0.5374,-5.826,0.2582,222.5743,21.2027,0.0121,244.9745,255.9048,0.2805,0.000235,-0.0404,-0.2167,0.1725,SHAKE
218.6604,-12.9139,0.7673,0.2485,219.0428,3.5315,0.0097,234.9207,170.856,0.271,0.000299,-0.0386,-0.2043,0.1729,SHAKE
212.2127,-12.7655,2.3013,0.242,212.6088,6.434,0.0065,230.4385,250.3286,0.2597,0.000189,-0.0392,-0.1908,0.1714,SHAKE
202.0108,-4.5467,3.9442,0.2397,202.1005,10.5083,0.0023,220.0207,189.5822,0.2517,0.000126,-0.0443,-0.1832,0.1663,SHAKE
200.0368,2.6407,22.4647,0.2383,201.3116,0.7889,0.0015,211.5276,74.5829,0.2453,5.3e-05,-0.0502,-0.18,0.1581,SHAKE
