gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-150.1165,-38.4723,25.5843,0.0508,157.0657,21.136,0.0121,94.2296,2228.3989,0.0489,0.000198,-0.0125,-0.003,-0.0459,SHAKE1
-150.2557,-52.6278,27.6424,0.0521,161.5876,4.5219,0.0013,119.6913,1768.7047,0.054,7.1e-05,-0.0135,-0.0008,-0.0519,SHAKE1
-128.7514,-69.9273,47.0577,0.0677,153.8869,7.7007,0.0156,140.2448,639.7127,0.0594,4.5e-05,-0.0186,0.003,-0.0549,SHAKE1
-132.5074,-81.5637,84.793,0.0952,177.2024,23.3155,0.0275,157.1344,176.5494,0.0658,0.000258,-0.0281,0.0102,-0.0553,SHAKE1
-167.5309,-97.7916,122.9376,0.1133,229.6594,52.457,0.0181,175.8804,787.184,0.0758,0.000606,-0.0406,0.0202,-0.0566,SHAKE1
-212.956,-114.5301,164.4469,0.1122,292.4213,62.7619,0.001,202.9515,2699.8948,0.0881,0.000596,-0.0536,0.032,-0.0589,SHAKE1
-248.1523,-104.1897,204.3763,0.0969,337.9419,45.5206,0.0153,238.2224,4758.1475,0.0971,0.000272,-0.0662,0.0407,-0.0546,SHAKE1
-207.1562,-76.9205,237.5167,0.074,324.4143,13.5276,0.0229,272.3279,3658.2788,0.0983,0.000204,-0.0725,0.0422,-0.0412,SHAKE1
-114.8968,-68.5989,252.3415,0.0629,285.6279,38.7864,0.0111,294.013,1413.6434,0.0919,0.000412,-0.0718,0.0385,-0.0237,SHAKE1
-41.9737,-73.7323,232.7919,0.046,247.7707,37.8572,0.0169,297.6352,999.9158,0.0784,0.00056,-0.0651,0.0316,-0.0071,SHAKE1
16.9148,-22.6514,231.0492,0.047,232.7722,14.9985,0.001,285.7054,1693.5999,0.0654,0.000358,-0.0567,0.0236,0.0098,SHAKE1
36.2099,16.207,231.0018,0.0454,234.3836,1.6114,0.0015,264.9937,1245.6824,0.055,0.000132,-0.0483,0.0188,0.0169,SHAKE1
16.4398,12.9687,223.4702,0.062,224.4491,9.9345,0.0165,245.0007,468.5742,0.0526,6.4e-05,-0.0455,0.0184,0.0181,SHAKE1
97.5956,-53.3907,211.2949,0.037,238.7907,14.3416,0.025,235.6333,58.4239,0.0475,6.5e-05,-0.0413,0.0153,0.0163,SHAKE1
81.7546,-66.7532,211.836,0.0261,236.6734,2.1174,0.0109,233.4138,24.2509,0.0435,0.00014,-0.0378,0.0136,0.0112,SHAKE1
53.0475,-45.5244,213.2,0.0334,224.3674,12.3059,0.0073,231.7329,37.7102,0.0408,0.000151,-0.0359,0.0143,0.0076,SHAKE1
52.8317,-13.8914,218.3569,0.0288,225.0864,0.719,0.0046,229.8734,41.6824,0.0375,0.000164,-0.0319,0.0146,0.0067,SHAKE1
59.0341,7.515,223.2949,0.036,231.089,6.0025,0.0071,231.2014,34.3298,0.0323,1.7e-05,-0.0249,0.0161,0.0017,SHAKE1
