gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-15.4952,18.5076,-2.2597,0.0006,24.2434,0.0463,0.0002,24.6912,0.1274,0.0005,0.0,0.0001,0.0005,0.0,STILL
-15.8149,18.603,-2.939,0.0008,24.5931,0.3497,0.0002,24.585,0.0806,0.0006,0.0,0.0001,0.0006,0.0,STILL
-15.3426,18.7918,-3.22,0.0007,24.4723,0.1208,0.0001,24.4943,0.0517,0.0007,0.0,0.0002,0.0006,-0.0,STILL
-15.6116,18.7053,-2.8197,0.0007,24.5267,0.0544,0.0,24.425,0.0184,0.0007,0.0,0.0002,0.0007,0.0,STILL
-14.9111,19.0642,-2.187,0.0008,24.3016,0.2251,0.0001,24.4274,0.0178,0.0007,0.0,0.0003,0.0006,0.0001,STILL
-14.8289,18.9701,-2.4903,0.0008,24.2067,0.095,0.0001,24.4201,0.0207,0.0008,0.0,0.0003,0.0007,0.0001,STILL
-15.3756,19.0886,-2.2235,0.0008,24.6115,0.4049,0.0,24.4238,0.0221,0.0008,0.0,0.0004,0.0007,0.0001,STILL
-15.1067,19.1709,-1.8881,0.0008,24.4806,0.1309,0.0,24.4254,0.0222,0.0008,0.0,0.0003,0.0007,0.0002,STILL
-15.2948,19.443,-2.1261,0.001,24.829,0.3484,0.0002,24.4859,0.0491,0.0008,0.0,0.0003,0.0007,0.0001,STILL
-15.5139,19.2294,-2.0759,0.001,24.7944,0.0346,0.0,24.5844,0.0516,0.0009,0.0,0.0003,0.0008,0.0001,STILL
-15.8924,19.1116,-2.0451,0.0011,24.94,0.1457,0.0001,24.7311,0.0269,0.0009,0.0,0.0004,0.0008,0.0002,STILL
-16.1827,19.1362,-2.2673,0.0012,25.1637,0.2237,0.0001,24.8415,0.0492,0.001,0.0,0.0004,0.0009,0.0002,STILL
-16.2024,18.9621,-1.967,0.001,25.0189,0.1448,0.0002,24.9492,0.0179,0.0011,0.0,0.0004,0.0009,0.0003,STILL
-16.3807,18.9384,-1.6767,0.0011,25.0958,0.0769,0.0001,25.0026,0.0164,0.0011,0.0,0.0004,0.0009,0.0003,STILL
-16.8077,19.4757,-1.6757,0.0012,25.78,0.6842,0.0001,25.1997,0.0898,0.0011,0.0,0.0005,0.0009,0.0003,STILL
-16.4742,19.3993,-1.7843,0.0011,25.5131,0.2669,0.0001,25.3143,0.0828,0.0011,0.0,0.0005,0.001,0.0003,STILL
