gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
17.6517,17.7325,-1.8836,0.0003,25.0913,0.2197,0.0001,25.1265,0.0087,0.0002,0.0,0.0,-0.0001,-0.0001,STILL1
-18.1307,18.1517,-2.3788,0.0002,25.7656,0.6743,0.0001,25.2622,0.0717,0.0002,0.0,0.0,-0.0,-0.0001,STILL1
-18.0702,17.8276,-2.3905,0.0002,25.4965,0.2691,0.0,25.3432,0.0703,0.0002,0.0,0.0,-0.0001,-0.0002,STILL1
-18.0843,17.6871,-2.378,0.0004,25.4073,0.0892,0.0002,25.4143,0.049,0.0003,0.0,0.0,-0.0001,-0.0002,STILL1
-18.1924,17.8465,-2.3493,0.0005,25.5926,0.1854,0.0001,25.4706,0.0501,0.0003,0.0,0.0,-0.0002,-0.0002,STILL1
-18.5727,17.796,-2.5107,0.0002,25.8446,0.252,0.0003,25.6213,0.0266,0.0003,0.0,0.0,-0.0002,-0.0002,STILL1
-18.03,18.4461,-2.4179,0.0002,25.9073,0.0627,0.0,25.6497,0.038,0.0003,0.0,-0.0,-0.0002,-0.0001,STILL1
-18.1022,18.31,-2.1937,0.0003,25.841,0.0663,0.0001,25.7186,0.0359,0.0003,0.0,-0.0,-0.0002,-0.0002,STILL1
-18.5598,18.4512,-2.2018,0.0002,26.2633,0.4223,0.0001,25.8898,0.0465,0.0003,0.0,-0.0,-0.0002,-0.0001,STILL1
-18.4416,18.2266,-2.649,0.0001,26.0637,0.1996,0.0001,25.984,0.026,0.0002,0.0,-0.0,-0.0001,-0.0001,STILL1
-18.1533,18.0281,-2.7942,0.0001,25.7364,0.3273,0.0,25.9624,0.0339,0.0002,0.0,-0.0001,-0.0001,-0.0001,STILL1
-18.107,18.0006,-2.6853,0.0003,25.6729,0.0635,0.0002,25.9155,0.0479,0.0002,0.0,-0.0,-0.0001,-0.0001,STILL1
-18.2262,17.838,-2.667,0.0002,25.6418,0.0311,0.0002,25.8756,0.0602,0.0002,0.0,-0.0,-0.0001,-0.0,STILL1
-18.4466,17.8673,-2.6149,0.0001,25.8138,0.172,0.0,25.7857,0.0228,0.0002,0.0,-0.0,-0.0001,-0.0,STILL1
-18.4542,17.5313,-2.9013,0.0002,25.6188,0.1951,0.0,25.6967,0.005,0.0002,0.0,-0.0,-0.0001,-0.0,STILL1
-18.2446,17.3751,-3.1116,0.0003,25.3858,0.2329,0.0001,25.6266,0.0191,0.0002,0.0,-0.0,-0.0001,-0.0001,STILL1
-18.1613,17.1188,-2.8299,0.0003,25.1176,0.2682,0.0001,25.5156,0.0582,0.0002,0.0,-0.0001,-0.0001,-0.0001,STILL1
-17.8447,16.9513,-2.5483,0.0003,24.7441,0.3735,0.0,25.336,0.1418,0.0002,0.0,-0.0001,-0.0001,-0.0002,STILL1
-18.0226,16.9829,-2.148,0.0003,24.8565,0.1124,0.0001,25.1446,0.1054,0.0003,0.0,-0.0,-0.0001,-0.0002,STILL1
-18.115,16.7863,-2.1403,0.0002,24.7894,0.0672,0.0001,24.9787,0.0582,0.0003,0.0,-0.0,-0.0001,-0.0002,STILL1
-18.1263,17.3322,-1.706,0.0001,25.1372,0.3478,0.0001,24.929,0.0276,0.0002,0.0,0.0,-0.0001,-0.0002,STILL1
-18.0917,17.6782,-1.5273,0.0001,25.3409,0.2037,0.0,24.9736,0.0524,0.0002,0.0,0.0,-0.0001,-0.0001,STILL1
-18.2046,17.2707,-2.1406,0.0002,25.1847,0.1563,0.0001,25.0617,0.043,0.0002,0.0,0.0,-0.0,-0.0,STILL1
-18.3574,17.4041,-1.6812,0.0002,25.352,0.1673,0.0,25.1608,0.0416,0.0002,0.0,0.0,-0.0,0.0,STILL1
-18.6047,17.8389,-1.7419,0.0002,25.834,0.482,0.0,25.3698,0.061,0.0002,0.0,0.0,0.0,0.0001,STILL1
-18.9119,17.5836,-1.5591,0.0001,25.8703,0.0363,0.0001,25.5164,0.0788,0.0002,0.0,0.0,0.0,0.0001,STILL1
-19.017,17.7606,-1.7817,0.0002,26.0818,0.2115,0.0001,25.6646,0.1146,0.0002,0.0,0.0001,0.0,0.0002,STILL1
-18.8074,17.7835,-1.6753,0.0003,25.9379,0.1439,0.0,25.8152,0.0608,0.0002,0.0,0.0,0.0,0.0002,STILL1
-19.2334,17.7424,-1.409,0.0003,26.205,0.2671,0.0,25.9858,0.0192,0.0002,0.0,-0.0001,0.0,0.0002,STILL1
-19.1305,17.3908,-1.4085,0.0004,25.8921,0.3129,0.0001,25.9974,0.0162,0.0002,0.0,-0.0001,0.0001,0.0001,STILL1
-19.295,18.272,-1.5174,0.0003,26.617,0.725,0.0001,26.1468,0.0674,0.0003,0.0,-0.0001,0.0001,0.0001,STILL1
-19.3485,18.1801,-1.917,0.0004,26.6187,0.0017,0.0001,26.2542,0.0996,0.0003,0.0,-0.0001,0.0002,0.0001,STILL1
-19.6507,17.5754,-2.6336,0.0003,26.4949,0.1239,0.0001,26.3655,0.0788,0.0003,0.0,-0.0001,0.0002,0.0001,STILL1
-19.3893,17.1478,-2.7882,0.0003,26.0339,0.461,0.0001,26.3313,0.0945,0.0003,0.0,-0.0001,0.0003,0.0001,STILL1
-19.2614,17.2495,-2.5055,0.0004,25.9774,0.0565,0.0001,26.3484,0.0806,0.0003,0.0,-0.0001,0.0002,0.0002,STILL1
-19.2279,17.3527,-2.495,0.0005,26.0203,0.0429,0.0,26.229,0.0735,0.0004,0.0,-0.0,0.0002,0.0003,STILL1
-19.3292,17.1665,-2.7898,0.0005,26.0017,0.0185,0.0,26.1056,0.0382,0.0004,0.0,-0.0,0.0002,0.0003,STILL1
-19.0665,17.1832,-2.9412,0.0003,25.835,0.1668,0.0001,25.9737,0.0052,0.0004,0.0,-0.0,0.0002,0.0003,STILL1
-19.2126,17.2591,-2.5061,0.0002,25.9476,0.1127,0.0001,25.9564,0.0043,0.0004,0.0,0.0,0.0002,0.0003,STILL1
-19.3857,17.1291,-2.6205,0.0002,26.0015,0.0539,0.0,25.9612,0.0046,0.0003,0.0,0.0,0.0002,0.0003,STILL1
-19.9617,17.3439,-2.4651,0.0002,26.5586,0.557,0.0,26.0689,0.0637,0.0003,0.0,-0.0001,0.0001,0.0002,STILL1
-19.7693,17.4127,-2.7721,0.0003,26.4898,0.0687,0.0001,26.1665,0.0887,0.0003,0.0,-0.0001,0.0001,0.0001,STILL1
-19.2186,17.0864,-2.5708,0.0003,25.8439,0.6459,0.0,26.1683,0.0875,0.0003,0.0,-0.0001,0.0001,0.0001,STILL1
-19.3999,17.7785,-3.1848,0.0003,26.5061,0.6622,0.0,26.28,0.0881,0.0003,0.0,-0.0002,0.0001,0.0,STILL1
-19.5605,17.6915,-3.1291,0.0003,26.5593,0.0532,0.0001,26.3915,0.0757,0.0003,0.0,-0.0002,0.0001,-0.0001,STILL1
-18.9547,17.5157,-2.7283,0.0003,25.9523,0.6069,0.0,26.2703,0.094,0.0003,0.0,-0.0002,0.0001,-0.0001,STILL1
-18.7762,17.597,-2.7389,0.0002,25.8786,0.0737,0.0001,26.148,0.1001,0.0003,0.0,-0.0002,0.0001,-0.0002,STILL1
-18.7835,17.9869,-2.1286,0.0004,26.0937,0.2151,0.0002,26.198,0.0797,0.0003,0.0,-0.0002,-0.0,-0.0002,STILL1
-18.5924,18.0927,-1.9904,0.0004,26.0189,0.0748,0.0001,26.1006,0.0577,0.0003,0.0,-0.0001,-0.0001,-0.0003,STILL1
-18.1021,18.546,-1.9985,0.0002,25.9929,0.026,0.0002,25.9873,0.0051,0.0003,0.0,-0.0001,-0.0001,-0.0002,STILL1
-18.2285,18.4274,-1.7832,0.0003,25.9813,0.0116,0.0001,25.9931,0.0048,0.0003,0.0,0.0,-0.0001,-0.0002,STILL1
-18.4391,18.2857,-2.1547,0.0003,26.0578,0.0765,0.0,26.0289,0.0017,0.0003,0.0,0.0001,-0.0001,-0.0002,STILL1
-18.8481,18.2067,-2.4425,0.0003,26.3192,0.2614,0.0,26.074,0.0157,0.0003,0.0,0.0001,-0.0001,-0.0001,STILL1
-19.1066,18.2591,-2.6509,0.0003,26.561,0.2418,0.0,26.1824,0.0508,0.0003,0.0,0.0001,-0.0001,-0.0,STILL1
-19.2291,18.0604,-2.1582,0.0003,26.4687,0.0923,0.0,26.2776,0.0509,0.0003,0.0,0.0001,-0.0002,0.0,STILL1
-18.9864,18.1014,-2.1703,0.0002,26.3221,0.1466,0.0001,26.3458,0.0291,0.0003,0.0,0.0001,-0.0002,0.0001,STILL1
-18.6891,17.878,-1.9644,0.0001,25.9377,0.3844,0.0001,26.3217,0.0453,0.0002,0.0,0.0001,-0.0001,0.0001,STILL1
-18.3513,17.8431,-2.084,0.0001,25.6805,0.2572,0.0,26.194,0.1112,0.0002,0.0,0.0001,-0.0001,0.0001,STILL1
-18.6998,17.7119,-2.2078,0.0002,25.8509,0.1704,0.0001,26.052,0.0876,0.0002,0.0,0.0001,-0.0001,0.0001,STILL1
-18.3567,17.7071,-1.9319,0.0003,25.5781,0.2728,0.0002,25.8739,0.0661,0.0002,0.0,0.0,-0.0001,0.0,STILL1
-18.1229,17.6719,-2.2143,0.0002,25.4094,0.1687,0.0001,25.6913,0.0357,0.0002,0.0,0.0001,-0.0002,0.0,STILL1
-18.0077,17.8875,-2.3495,0.0002,25.4904,0.081,0.0001,25.6018,0.0236,0.0002,0.0,0.0001,-0.0002,0.0,STILL1
-17.8343,17.8975,-2.5703,0.0001,25.3966,0.0938,0.0,25.5451,0.0276,0.0002,0.0,0.0001,-0.0002,0.0001,STILL1
-17.6393,18.2711,-3.0125,0.0,25.5745,0.1779,0.0001,25.4898,0.006,0.0002,0.0,0.0001,-0.0001,0.0,STILL1
-17.9583,18.1825,-3.0475,0.0001,25.737,0.1625,0.0001,25.5216,0.0157,0.0001,0.0,0.0,-0.0001,0.0,STILL1
