gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
-33.3867,13.2991,-67.1016,0.0982,76.1194,47.7012,0.0968,38.0047,363.2339,0.0202,0.001521,-0.0109,0.0156,-0.0042,TRANSLATE
-28.9062,15.3517,-110.1875,0.0673,114.9458,38.8264,0.031,55.3687,1226.1946,0.0336,0.001707,-0.0215,0.0238,-0.006,TRANSLATE
-30.5937,14.4751,-98.9063,0.0384,104.5369,10.4089,0.0289,70.573,1334.3,0.0412,0.001435,-0.029,0.0251,-0.0064,TRANSLATE
-38.35,11.4957,-76.7188,0.0158,86.5369,17.9999,0.0227,82.1114,903.89,0.0442,0.001224,-0.0316,0.0234,-0.006,TRANSLATE
-42.3956,11.9966,-57.4406,0.0173,72.3929,14.144,0.0015,90.9064,268.8359,0.0474,0.000994,-0.0299,0.0206,-0.0049,TRANSLATE
-38.3352,13.9941,-46.6963,0.0256,62.0159,10.377,0.0083,88.0857,384.0807,0.0329,0.000361,-0.0147,0.0029,0.0014,TRANSLATE
-32.6369,15.6672,-37.2726,0.0334,51.9604,10.0555,0.0078,75.4886,342.1085,0.0261,7.8e-05,0.0021,-0.007,0.0046,TRANSLATE
-29.5596,16.8619,-31.5181,0.0287,46.3841,5.5763,0.0046,63.858,207.4928,0.0241,4.5e-05,0.0147,-0.0108,0.006,TRANSLATE
-27.4758,17.0426,-25.9145,0.0227,41.4359,4.9482,0.006,54.8378,123.8127,0.0255,3e-05,0.0212,-0.0111,0.0065,TRANSLATE
-25.7244,17.6966,-21.2347,0.018,37.7601,3.6757,0.0047,47.9113,72.5289,0.0257,2.7e-05,0.0228,-0.0101,0.0057,TRANSLATE
-24.0639,18.051,-16.544,0.0141,34.331,3.4292,0.0039,42.3743,38.9676,0.0234,4.9e-05,0.0207,-0.0096,0.0044,TRANSLATE
-23.0355,18.994,-13.5352,0.0112,32.7812,1.5498,0.0029,38.5384,24.2808,0.019,3.9e-05,0.0163,-0.009,0.0033,TRANSLATE
-22.1471,19.5639,-10.0938,0.0088,31.227,1.5542,0.0024,35.507,13.4719,0.015,2.5e-05,0.0127,-0.0074,0.0024,TRANSLATE
-21.2427,19.323,-8.4032,0.0072,29.9206,1.3064,0.0016,33.204,7.3792,0.0119,1.5e-05,0.0099,-0.0063,0.0017,TRANSLATE
-20.7129,19.6678,-7.4132,0.0057,29.5093,0.4113,0.0014,31.5538,3.2346,0.0094,9e-06,0.0076,-0.0053,0.0011,TRANSLATE
-20.2485,19.9061,-6.8024,0.0047,29.198,0.3113,0.001,30.5272,1.7482,0.0075,5e-06,0.0059,-0.0046,0.0008,TRANSLATE
-19.4863,20.2218,-5.8388,0.0038,28.6832,0.5148,0.0009,29.7076,0.7405,0.006,3e-06,0.0045,-0.0039,0.0006,TRANSLATE
-18.8359,20.243,-5.3523,0.0034,28.1641,0.5191,0.0004,29.0951,0.38,0.005,2e-06,0.0034,-0.0035,0.0004,TRANSLATE
-18.4687,20.8538,-4.8568,0.0027,28.2765,0.1124,0.0006,28.7662,0.2696,0.0041,1e-06,0.0026,-0.0031,0.0003,TRANSLATE
-18.1437,20.7237,-4.6605,0.0024,27.9354,0.3412,0.0004,28.4515,0.1981,0.0034,1e-06,0.0019,-0.0028,0.0002,TRANSLATE
