gx,gy,gz,lin_acc_mag,gyro_mag,gyro_diff,lin_acc_diff,gyro_avg,gyro_var,lin_acc_avg,lin_acc_var,lin_ax_avg,lin_ay_avg,lin_az_avg,label
10.1677,-24.2685,-51.3481,0.0509,57.6973,0.548,0.0053,53.4097,23.8481,0.0632,7.6e-05,-0.0046,-0.0584,0.0211,translate1
-15.9689,-25.2367,-50.4941,0.0482,58.6648,0.9675,0.0027,55.9637,11.5524,0.0582,7.5e-05,-0.0041,-0.0555,0.0125,translate1
-51.6314,-33.33,-51.3453,0.0467,80.0814,21.4166,0.0016,62.0866,81.9534,0.0532,3.9e-05,-0.0032,-0.0518,0.0031,translate1
-79.5114,-47.7421,-45.9169,0.0478,103.4878,23.4064,0.0012,71.6353,325.5431,0.05,1.2e-05,-0.0027,-0.0478,-0.0056,translate1
-97.8653,-55.3406,-41.0616,0.0524,119.6924,16.2046,0.0045,83.9247,600.5509,0.0492,4e-06,-0.0026,-0.0441,-0.0154,translate1
-92.2985,-43.8975,-31.0962,0.0533,106.8315,12.8608,0.001,93.7516,471.3524,0.0497,7e-06,-0.002,-0.0409,-0.0242,translate1
-77.517,-13.9961,-22.8894,0.0626,82.0286,24.8029,0.0093,98.4244,230.7863,0.0526,3.2e-05,-0.0014,-0.0382,-0.0337,translate1
-68.1261,20.6375,-13.0178,0.0751,72.3639,9.6647,0.0125,96.8808,296.9408,0.0583,9.4e-05,-0.0013,-0.0362,-0.0443,translate1
-76.029,55.4444,0.8576,0.0872,94.1022,21.7383,0.0121,95.0037,286.231,0.0661,0.000179,-0.0016,-0.0345,-0.0556,translate1
-83.3544,78.393,12.8892,0.0881,115.1501,21.048,0.0008,94.0953,244.6755,0.0733,0.000186,-0.0017,-0.0327,-0.0648,translate1
-98.6304,95.955,21.4739,0.088,139.2712,24.121,0.0001,100.5832,578.3121,0.0802,0.000101,-0.0007,-0.031,-0.0735,translate1
-86.5325,98.7515,28.2635,0.0844,134.3077,4.9635,0.0036,111.039,627.6021,0.0846,2.4e-05,0.0016,-0.0293,-0.0789,translate1
